usuario_id,data_instalacao,fonte_midia,custo,plataforma,versao_app,marca,modelo,canal
dcdff191-8e4f-4672-aa21-61ddd6e16b65,2025-01-14 17:47:08,Orgânico,0.0,Android,1.1,LG,Wing,mms
5d5dfeaa-bb0c-4766-ad94-7135abe976f8,2025-03-21 11:19:42,Orgânico,0.0,iOS,1.1,Apple,iPhone 12,email
f081b639-9f96-415a-b139-a37336b25350,2025-03-09 19:15:05,Facebook Ads,4.838844619102944,iOS,2.0,Apple,iPhone 13,sms
0ea9d453-5d0a-409c-ae9d-a5804bcabb76,2025-01-29 04:05:52,Orgânico,0.0,iOS,1.0,Apple,iPhone 12,push
a1da2ac0-2c8c-459e-88a7-99207549a541,2025-03-15 05:39:23,Facebook Ads,4.9418307867927265,iOS,1.2,Apple,iPhone 12,mms
e6a81de5-5a94-429c-956c-b690e034bc8d,2025-01-16 12:31:59,Orgânico,0.0,Android,1.0,LG,Wing,mms
6cdc34da-13e9-44c5-bb2c-9211b93f504f,2025-01-29 08:52:18,Orgânico,0.0,Android,1.0,LG,Velvet,sms
fcdf2fad-3513-46ad-a211-a12c649b58b0,2025-03-24 20:23:19,Facebook Ads,1.00489355231054,Android,2.0,LG,Velvet,email
33c8465b-1ba8-4847-8420-f61df8b0edf0,2025-01-11 00:58:32,Orgânico,0.0,iOS,2.0,Apple,iPhone 13,mms
68a3ed4c-3fb7-415c-a293-32310b93722f,2025-03-25 14:02:34,Orgânico,0.0,iOS,2.0,Apple,iPhone 12,email
8e3503ce-280a-4d24-a45b-561c6e2ead8d,2025-03-06 11:15:41,Google Ads,1.3197052300153305,Android,1.1,Motorola,Moto G Power,email
cb92b89f-e7ce-4844-9650-04fba150af17,2025-02-19 16:42:28,Orgânico,0.0,iOS,2.0,Apple,iPhone 12,mms
aeb8446f-1ebc-47fe-a050-b5796365f4a5,2025-03-11 04:38:47,Google Ads,1.5130048306739965,iOS,1.2,Apple,iPhone 12,push
f3d581be-b4d1-446b-9847-24d9bb03345d,2025-01-23 18:30:40,Google Ads,4.85988475270703,Android,2.0,Motorola,Moto G Power,sms
3136111e-1606-4d4b-8213-565b247e05ef,2025-03-11 16:41:06,Orgânico,0.0,iOS,1.1,Apple,iPhone SE,email
797e14d7-dd98-48e4-b0a8-a3549954f1a5,2025-01-03 15:46:29,Orgânico,0.0,iOS,1.0,Apple,iPhone 13,email
a08c7975-82cf-4fae-b44b-3f4a7b905105,2025-02-04 06:31:32,Google Ads,4.416294102325491,iOS,1.2,Apple,iPhone 12,push
b3f1a3f6-2301-4204-a1dd-ad5f3aef32be,2025-01-23 14:31:51,Google Ads,2.3949368076429702,iOS,1.0,Apple,iPhone 13,email
9545b2a1-d503-4024-a6c6-0af43055bd31,2025-02-25 05:44:40,Google Ads,1.1027731454406944,Android,1.1,LG,Velvet,sms
53c400a4-33fd-4b1e-95d7-1ef993d64197,2025-01-29 18:40:33,Orgânico,0.0,Android,2.0,Samsung,Galaxy S21,email
ed727cfb-b71e-4be2-a0e4-643e1a9a0ae9,2025-01-27 20:18:23,Orgânico,0.0,iOS,1.0,Apple,iPhone 12,mms
9c7b8a8d-3b52-4904-8f7a-537dec2d30d6,2025-03-12 14:48:23,Orgânico,0.0,iOS,2.0,Apple,iPhone SE,email
eae58579-7fa8-421e-815e-79cfca193bde,2025-02-01 04:42:43,Orgânico,0.0,Android,1.1,Samsung,Galaxy M32,email
7221f71c-edbd-4365-8eb4-2d8eaf08bdcb,2025-03-23 07:14:25,Google Ads,0.8549297195416927,Android,1.2,Xiaomi,Poco X3,email
1faf8869-fcf0-4f39-a22b-8db5fb3e1b59,2025-01-20 07:55:07,Google Ads,1.8283207825180983,Android,1.2,Motorola,Moto Edge,mms
7b6e6c8c-f6bc-4599-9a5f-ccf50e1c277c,2025-01-23 16:35:43,Facebook Ads,4.376104041984795,Android,1.2,Motorola,Moto G Power,push
1a80530f-a671-441e-a9ce-200c105cf99d,2025-01-30 14:19:01,Google Ads,3.736865373541324,Android,2.0,Xiaomi,Redmi Note 10,sms
8c9ed532-cbf0-44ec-9d3c-194bc73caf6f,2025-01-08 11:46:36,Facebook Ads,3.742826219884966,Android,1.1,LG,K51,push
00fc1b38-a695-434a-944c-68e7776ed3ae,2025-02-26 15:48:12,Orgânico,0.0,iOS,1.0,Apple,iPhone 13,email
df2fa2f6-13d1-445f-bd07-8cb3d554f313,2025-03-28 02:30:39,Orgânico,0.0,iOS,2.0,Apple,iPhone 12,email
364182d5-26ba-42a9-9e89-532839f51f6b,2025-02-21 21:29:55,Facebook Ads,1.4035651072545974,iOS,1.1,Apple,iPhone 12,push
1fdbdcd0-d0c4-42b9-9dca-e5d12ce2b5e2,2025-03-26 20:07:44,Facebook Ads,2.4116148357997047,Android,1.1,Samsung,Galaxy M32,push
70267eab-32d9-4e28-9792-5922de36c751,2025-01-17 01:28:07,Facebook Ads,4.966147671355465,Android,2.0,LG,Velvet,email
5d0d17c4-653f-49e2-8741-cf9ccfec047f,2025-03-10 08:55:58,Facebook Ads,3.0766916490225045,iOS,1.2,Apple,iPhone SE,push
33c453e2-251e-4d80-87c1-73060cbb87a1,2025-03-25 10:33:25,Orgânico,0.0,iOS,2.0,Apple,iPhone SE,email
e1847c7a-6f55-4c08-9726-74bf081428ae,2025-03-01 11:07:04,Facebook Ads,4.680303563886106,Android,2.0,Xiaomi,Redmi Note 10,email
f44548b4-3572-4cc2-9739-3519b7465d41,2025-01-12 04:48:58,Google Ads,4.864985414801538,Android,2.0,Samsung,Galaxy M32,email
3a2a39cb-fd6a-4e87-8952-eb68931ef95b,2025-03-24 21:12:36,Orgânico,0.0,Android,1.1,LG,Wing,email
5bcd02b8-b604-4bc6-b7ed-90fc169c2666,2025-02-20 16:43:51,Orgânico,0.0,iOS,1.1,Apple,iPhone SE,mms
8508cb19-011f-4389-b6e0-6467769adff2,2025-02-22 20:45:32,Facebook Ads,4.279135152629576,iOS,1.1,Apple,iPhone SE,email
01394037-c58c-4afb-a570-6e83f5ddfb7f,2025-03-27 16:38:11,Google Ads,0.7880710144664291,Android,2.0,Motorola,Moto G Stylus,email
ad8bf3ad-2463-45f8-ab1b-5b42b07028d0,2025-02-01 08:58:35,Google Ads,0.11745547222085222,Android,1.0,Samsung,Galaxy A52,mms
65ee4f7a-8a44-4ee1-b050-c55d9ae7a2fc,2025-03-23 20:03:12,Facebook Ads,3.674882199642414,Android,1.2,Xiaomi,Mi 11,sms
5be8c394-49c4-4971-995f-13402624b352,2025-03-08 04:16:40,Google Ads,3.0581775830411897,iOS,1.1,Apple,iPhone 13,push
86ba11db-d82f-41aa-99b8-8616293beabf,2025-03-16 08:36:28,Google Ads,0.2684952129630367,Android,1.0,Motorola,Moto G Power,push
31ac1cc0-dbf8-4398-a0cc-5fb25b78ed7d,2025-02-21 21:21:30,Google Ads,2.812873907766922,iOS,1.2,Apple,iPhone 13,push
