usuario_id,idade,genero,interesse,dias_desde_cadastro,dias_engajamento,boas_vindas_data,boas_vindas_eventos,engajamento_inicio,engajamento_fim,engajamento_dias_leitura,retencao_status
dcdff191-8e4f-4672-aa21-61ddd6e16b65,56,Feminino,"['Viagens', 'Viagens', 'Notícias']",20,17,2025-02-22 15:58:42,"['cadastro_concluido', 'primeiro_acesso']",2025-02-23 15:58:42,2025-03-12 15:58:42,5,Ativo
5d5dfeaa-bb0c-4766-ad94-7135abe976f8,46,Feminino,"['Tecnologia', 'Leitura', 'Viagens']",71,21,2025-01-02 06:59:07,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-01-03 06:59:07,2025-01-24 06:59:07,20,Ativo
f081b639-9f96-415a-b139-a37336b25350,32,Outro,['Música'],65,19,2025-01-08 03:43:53,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-01-09 03:43:53,2025-01-28 03:43:53,12,Ativo
0ea9d453-5d0a-409c-ae9d-a5804bcabb76,45,Outro,['Esportes'],43,7,2025-01-30 11:42:45,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-01-31 11:42:45,2025-02-07 11:42:45,4,Ativo
a1da2ac0-2c8c-459e-88a7-99207549a541,39,Feminino,['Esportes'],14,12,2025-02-27 21:18:40,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-02-28 21:18:40,2025-03-12 21:18:40,12,Ativo
e6a81de5-5a94-429c-956c-b690e034bc8d,32,Outro,"['Notícias', 'Esportes']",-8,30,2025-03-22 02:45:50,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-03-23 02:45:50,2025-04-22 02:45:50,12,Ativo
6cdc34da-13e9-44c5-bb2c-9211b93f504f,30,Feminino,"['Viagens', 'Esportes', 'Viagens']",46,21,2025-01-27 16:00:01,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-01-28 16:00:01,2025-02-18 16:00:01,12,Ativo
fcdf2fad-3513-46ad-a211-a12c649b58b0,29,Masculino,"['Tecnologia', 'Tecnologia']",32,24,2025-02-10 04:54:43,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-02-11 04:54:43,2025-03-07 04:54:43,14,Ativo
33c8465b-1ba8-4847-8420-f61df8b0edf0,49,Feminino,"['Música', 'Ebook']",66,10,2025-01-07 16:17:30,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-01-08 16:17:30,2025-01-18 16:17:30,8,Ativo
68a3ed4c-3fb7-415c-a293-32310b93722f,20,Outro,['Ebook'],0,21,2025-03-14 03:35:42,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-03-15 03:35:42,2025-04-05 03:35:42,1,Ativo
8e3503ce-280a-4d24-a45b-561c6e2ead8d,26,Outro,['Ebook'],47,14,2025-01-26 15:26:34,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-01-27 15:26:34,2025-02-10 15:26:34,14,Ativo
cb92b89f-e7ce-4844-9650-04fba150af17,39,Feminino,['Leitura'],67,26,2025-01-06 12:53:41,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-01-07 12:53:41,2025-02-02 12:53:41,19,Ativo
aeb8446f-1ebc-47fe-a050-b5796365f4a5,21,Outro,['Filmes'],-3,6,2025-03-16 19:23:27,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-03-17 19:23:27,2025-03-23 19:23:27,0,Ativo
f3d581be-b4d1-446b-9847-24d9bb03345d,56,Feminino,['Notícias'],12,17,2025-03-02 06:07:02,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-03-03 06:07:02,2025-03-20 06:07:02,6,Ativo
3136111e-1606-4d4b-8213-565b247e05ef,35,Outro,['Notícias'],67,20,2025-01-06 13:35:43,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-01-07 13:35:43,2025-01-27 13:35:43,16,Ativo
797e14d7-dd98-48e4-b0a8-a3549954f1a5,34,Masculino,"['Música', 'Ebook']",42,13,2025-01-31 04:20:47,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-02-01 04:20:47,2025-02-14 04:20:47,0,Inativo
a08c7975-82cf-4fae-b44b-3f4a7b905105,19,Feminino,['Esportes'],-14,26,2025-03-28 10:33:54,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-03-29 10:33:54,2025-04-24 10:33:54,26,Ativo
b3f1a3f6-2301-4204-a1dd-ad5f3aef32be,50,Masculino,['Viagens'],33,25,2025-02-09 01:44:35,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-02-10 01:44:35,2025-03-07 01:44:35,14,Ativo
9545b2a1-d503-4024-a6c6-0af43055bd31,55,Masculino,['Filmes'],70,23,2025-01-02 23:15:55,"['cadastro_concluido', 'primeiro_acesso']",2025-01-03 23:15:55,2025-01-26 23:15:55,4,Inativo
53c400a4-33fd-4b1e-95d7-1ef993d64197,36,Outro,"['Esportes', 'Leitura']",46,25,2025-01-27 15:16:46,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-01-28 15:16:46,2025-02-22 15:16:46,7,Ativo
ed727cfb-b71e-4be2-a0e4-643e1a9a0ae9,25,Feminino,"['Leitura', 'Notícias']",3,19,2025-03-11 12:32:24,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-03-12 12:32:24,2025-03-31 12:32:24,15,Ativo
9c7b8a8d-3b52-4904-8f7a-537dec2d30d6,18,Feminino,['Esportes'],25,24,2025-02-17 09:49:06,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-02-18 09:49:06,2025-03-14 09:49:06,17,Ativo
eae58579-7fa8-421e-815e-79cfca193bde,41,Feminino,"['Leitura', 'Filmes']",65,8,2025-01-07 20:06:24,"['cadastro_concluido', 'primeiro_acesso', 'tutorial_completo']",2025-01-08 20:06:24,2025-01-16 20:06:24,7,Ativo
